bin	ESO.all.snps	GBM.all.snps	lung.all.snps	liver.all.snps	mel.all.snps	MM.all.snp	CRC.all.snp	LUSC.all.snp	ESO.1060.ESO.all.snps	ESO.1163.ESO.all.snps	ESO.130.ESO.all.snps	ESO.409.ESO.all.snps	ESO.682.ESO.all.snps	ESO.721.ESO.all.snps	ESO.774.ESO.all.snps	ESO.838.ESO.all.snps	ESO.913.ESO.all.snps	TCGA.34.2596.LUSC.all.snps	TCGA.34.2600.LUSC.all.snps	TCGA.43.3394.LUSC.all.snps	TCGA.56.1622.LUSC.all.snps	TCGA.60.2711.LUSC.all.snps	TCGA.60.2713.LUSC.all.snps	TCGA.60.2722.LUSC.all.snps	TCGA.60.2724.LUSC.all.snps	TCGA.60.2726.LUSC.all.snps	TCGA.66.2756.LUSC.all.snps	TCGA.66.2757.LUSC.all.snps	TCGA.66.2766.LUSC.all.snps	TCGA.06.0145.GBM.all.snps	TCGA.06.0152.GBM.all.snps	TCGA.06.0155.GBM.all.snps	TCGA.06.0185.GBM.all.snps	TCGA.06.0188.GBM.all.snps	TCGA.06.0648.GBM.all.snps	TCGA.14.0786.GBM.all.snps	MM.0191.snp	MM.0242.snp	MM.0309.snp	MM.0319.snp	MM.0332.snp	MM.0335.snp	MM.0338.snp	MM.0343.snp	MM.0344.snp	MM.0356.snp	MM.0375.snp	MM.0376.snp	MM.0383.snp	MM.0387.snp	MM.0389.snp	MM.0390.snp	MM.0392.snp	MM.0406.snp	MM.0408.snp	MM.0412.snp	MM.0421.snp	MM.0425.snp	MM.0447.snp	CRC.0002.snp	CRC.0003.snp	CRC.0004.snp	CRC.0005.snp	CRC.0006.snp	CRC.0007.snp	CRC.0008.snp	CRC.0009.snp	CRC.0010.snp	all.RK032.snps	all.RK001.snps	all.RK027.snps	all.RK015.snps	all.RK067.snps	all.RK046.snps	all.RK031.snps	all.RK002.snps	all.RK084.snps	all.RK041.snps	all.RK006.snps	all.RK035.snps	all.RK033.snps	all.RK099.snps	all.RK029.snps	all.RK056.snps	all.RK022.snps	all.RK083.snps	all.RK042.snps	all.RK025.snps	all.RK026.snps	all.RK126.snps	all.RK048.snps	all.RK047.snps	all.RK051.snps	all.RK075.snps	all.RK107.snps	all.RK106.snps	all.RK019.snps	all.RK003.snps	all.RK086.snps	all.RK092.snps	all.RK020.snps	all.RK037.snps	all.RK054.snps	all.RK023.snps	all.RK007.snps	all.RK137.snps	all.RK133.snps	all.RK024.snps	all.RK098.snps	all.RK109.snps	all.RK016.snps	all.RK050.snps	all.RK004.snps	all.RK063.snps	all.RK010.snps	all.RK069.snps	all.RK108.snps	all.RK012.snps	all.RK089.snps	all.RK100.snps	all.RK021.snps	all.RK130.snps	all.RK036.snps	all.RK079.snps	all.RK049.snps	all.RK141.snps	all.RK068.snps	all.RK055.snps	all.RK034.snps	all.RK138.snps	all.RK005.snps	all.RK018.snps	all.ME001.Tumor.snps	all.ME002.Tumor.snps	all.ME007.Tumor.snps	all.ME011.Tumor.snps	all.ME016.Tumor.snps	all.ME018.Tumor.snps	all.ME020.Tumor.snps	all.ME021.Tumor.snps	all.ME024.Tumor.snps	all.ME029.Tumor.snps	all.ME030.Tumor.snps	all.ME035.Tumor.snps	all.ME037.Tumor.snps	all.ME041.Tumor.snps	all.ME043.Tumor.snps	all.ME044.Tumor.snps	all.ME048.Tumor.snps	all.ME049.Tumor.snps	all.ME050.Tumor.snps	all.MEL.0009.Tumor.snps	all.MEL.0012.Tumor.snps	all.MEL.0015.Tumor.snps	all.MEL.0032.Tumor.snps	all.MEL.0045.Tumor.snps	all.Mel_BRAFi_02_PRE.Tumor.snps	all.LUAD.AEIUF.Tumor.snps	all.LUAD.D02326.Tumor.snps	all.LUAD.E00934.Tumor.snps	all.LUAD.E01014.Tumor.snps	all.LUAD.E01278.Tumor.snps	all.LUAD.FH5PJ.Tumor.snps	all.LUAD.QY22Z.Tumor.snps	all.LUAD.S00488.Tumor.snps	all.LUAD.S01302.Tumor.snps	all.LUAD.S01331.Tumor.snps	all.LUAD.S01341.Tumor.snps	all.LUAD.S01345.Tumor.snps	all.LUAD.S01346.Tumor.snps	all.LUAD.S01356.Tumor.snps	all.LUAD.S01381.Tumor.snps	all.LUAD.S01404.Tumor.snps	all.LUAD.S01405.Tumor.snps	all.LUAD.S01467.Tumor.snps	all.LUAD.S01478.Tumor.snps	all.LUAD.U6SJ7.Tumor.snps	all.LU.A08.43.Tumor.snps	all.LUAD.2GUGK.Tumor.snps	all.LUAD.5V8LT.Tumor.snps	all.LUAD.E01317.Tumor.snps
chr1.118	49	7	273	176	493	34	33	143	3	4	5	0	3	17	5	4	8	28	7	8	5	8	10	10	15	9	13	7	8	1	1	1	1	0	1	2	3	2	2	4	1	1	0	4	3	0	0	1	0	2	4	0	0	0	1	3	0	2	1	0	4	3	4	0	3	6	11	2	3	7	6	1	4	5	2	9	5	5	13	7	0	0	0	6	2	5	2	3	1	7	6	2	4	0	5	3	2	5	3	3	3	0	0	7	5	1	1	0	2	1	1	2	0	0	0	2	2	1	3	1	8	0	1	6	0	2	1	0	0	0	0	0	17	28	5	19	14	8	20	9	19	27	13	23	14	11	30	28	10	36	22	37	12	3	17	10	35	7	2	9	7	11	5	20	9	30	13	6	14	16	10	8	5	9	4	17	6	5	11	44	5
chr1.119	58	19	319	230	639	42	33	188	5	12	2	5	6	14	5	7	2	21	11	4	15	7	26	17	21	23	16	5	14	3	3	2	2	4	2	3	1	0	3	2	3	2	2	0	2	5	2	0	0	3	1	2	1	1	1	4	2	1	4	3	5	3	1	0	4	6	9	2	5	7	7	4	5	3	1	9	4	8	14	16	0	2	2	6	5	4	1	2	4	6	7	4	9	2	4	4	5	1	4	4	1	1	3	7	3	2	3	4	3	1	0	4	6	1	3	1	2	1	2	2	3	2	4	5	0	1	0	1	0	3	1	1	24	35	2	22	24	14	32	7	56	39	19	20	20	21	31	34	16	42	31	50	10	2	15	14	48	4	2	15	5	13	10	28	10	26	6	5	18	17	19	7	6	9	8	25	13	1	9	55	8
chr1.12	44	17	368	98	501	36	39	104	9	6	4	2	10	5	1	5	2	3	5	3	8	4	7	10	15	5	19	10	8	2	1	3	1	5	1	4	2	1	3	2	0	2	0	4	3	3	0	1	2	2	0	2	0	0	4	0	1	1	3	2	3	6	3	2	5	3	8	7	3	2	6	2	0	2	3	0	0	0	5	7	0	1	0	1	3	1	0	0	1	4	0	2	1	1	1	6	2	3	1	0	1	1	0	3	2	1	0	2	2	1	0	1	4	2	1	1	1	3	1	2	0	0	1	3	1	0	1	0	1	2	2	0	23	26	5	29	20	15	17	9	28	27	6	10	16	16	27	34	11	44	16	39	8	1	12	16	34	13	3	29	15	16	12	12	17	46	11	1	15	16	23	7	8	10	9	24	5	4	7	63	2
chr1.120	87	33	491	221	893	42	44	221	4	16	7	6	11	19	7	11	6	24	13	5	19	6	13	27	28	20	33	6	14	8	4	7	4	1	4	5	1	1	3	0	3	7	3	3	1	1	1	2	3	1	2	1	4	1	0	2	2	0	0	5	7	4	8	5	2	4	7	2	2	8	11	4	1	10	5	4	2	6	13	5	2	5	2	5	5	2	2	2	3	12	11	0	5	1	3	6	5	2	4	2	2	6	2	4	2	2	3	2	5	0	2	0	6	2	5	3	3	0	3	2	2	1	1	3	0	1	2	1	1	4	1	0	37	49	4	32	34	28	43	19	43	45	16	30	27	23	55	63	33	88	38	47	22	2	8	21	68	12	1	29	13	28	13	44	12	46	16	6	14	25	22	9	7	12	16	36	10	1	13	93	13
chr1.149	55	25	416	192	782	43	30	137	3	6	4	1	2	17	8	5	9	12	10	6	13	7	8	14	10	4	21	10	8	9	0	3	3	5	1	4	1	1	1	0	3	1	1	0	0	0	1	3	3	4	8	0	1	1	0	3	3	2	6	0	4	5	3	0	2	4	9	3	2	3	3	2	2	7	3	3	4	2	10	10	1	2	1	7	7	4	5	0	4	11	9	0	0	2	4	3	5	0	6	3	2	1	1	10	4	4	3	1	2	2	0	1	5	0	2	1	2	0	6	2	3	0	3	4	2	1	1	2	2	1	0	0	17	12	7	21	39	17	28	13	44	32	10	24	22	30	50	51	15	32	30	162	17	3	11	17	48	11	2	31	4	13	8	28	39	37	13	5	27	21	22	6	8	12	9	24	5	1	15	62	13
chr1.15	125	16	270	264	429	50	35	122	18	21	9	11	15	16	13	9	13	13	10	4	9	2	6	9	10	9	19	12	9	6	3	2	2	0	1	2	2	2	2	2	2	3	3	0	1	2	1	2	1	3	5	0	2	2	3	2	4	3	3	1	6	4	4	4	4	5	7	0	4	2	12	11	7	10	6	2	1	7	10	9	3	7	1	8	4	3	0	1	2	5	9	1	9	2	6	5	2	4	8	2	2	5	5	6	0	5	3	3	6	6	8	6	3	1	5	0	4	3	4	0	5	3	2	9	3	2	0	0	2	0	0	1	10	26	3	25	19	12	16	9	21	14	5	7	12	14	31	34	15	27	18	38	2	2	6	15	34	4	2	16	7	9	2	19	7	21	8	3	18	10	17	4	4	7	5	13	6	6	8	69	5
chr1.150	99	27	633	284	1083	55	48	164	6	20	6	9	8	15	7	16	12	9	10	9	10	3	11	19	14	7	28	15	18	6	1	3	5	2	7	3	3	1	1	2	1	2	1	2	3	2	2	3	3	3	4	2	1	1	2	4	5	3	4	3	4	3	8	5	6	4	7	8	5	11	14	8	5	10	1	3	4	12	13	11	0	2	2	14	3	3	4	2	2	4	10	1	4	6	1	4	7	2	4	5	1	2	2	8	7	2	2	4	5	0	0	5	8	2	5	4	8	1	6	7	2	3	5	8	0	2	0	1	3	1	2	1	31	27	11	22	46	35	45	19	58	46	10	31	21	32	58	95	26	89	39	166	22	0	12	24	97	11	7	69	11	15	18	35	48	65	19	11	23	19	39	12	12	16	11	24	11	9	15	116	17
chr1.152	44	8	296	153	490	40	18	114	1	3	1	5	3	13	9	6	3	9	9	9	6	6	4	19	8	9	14	1	13	2	2	0	1	1	1	1	5	1	4	3	0	3	1	1	1	1	2	2	2	2	3	1	1	0	1	2	4	0	0	2	1	4	1	1	2	3	4	0	4	7	9	2	2	4	0	3	1	5	0	8	1	3	1	3	6	2	7	2	5	7	2	4	1	2	3	1	4	1	3	2	3	2	2	4	4	1	1	2	0	0	1	2	1	0	1	2	3	1	1	3	4	4	1	1	1	1	0	0	1	0	1	0	28	9	5	25	11	11	13	7	22	27	5	9	12	11	19	23	10	19	8	162	8	2	11	3	9	6	6	20	7	4	4	9	14	28	11	5	26	18	7	9	4	7	10	12	7	3	13	56	10
chr1.154	55	17	428	194	735	41	37	199	4	9	3	3	2	18	6	3	7	25	19	4	22	5	13	18	22	13	22	8	16	6	1	2	0	0	4	4	1	3	0	0	0	3	3	4	3	2	0	1	2	0	4	2	2	0	1	2	5	2	1	3	2	6	3	2	1	7	12	1	4	5	8	0	7	2	0	0	3	3	14	12	2	4	1	8	0	1	2	1	2	12	3	2	3	5	4	6	2	2	7	2	0	4	1	2	3	3	3	0	4	1	1	5	2	4	3	3	4	5	3	3	1	1	2	3	1	1	0	0	3	2	0	0	24	25	11	19	25	17	19	12	30	32	12	22	23	27	39	62	4	39	24	178	12	3	12	16	31	10	3	29	6	10	7	30	12	48	6	2	23	29	21	5	7	19	19	18	7	3	11	89	14
chr1.155	166	16	909	395	1027	35	37	452	18	37	11	7	14	21	28	17	13	32	32	20	39	14	37	45	49	54	45	26	41	2	1	6	2	2	3	0	0	1	2	2	0	0	0	0	1	1	5	1	1	1	7	2	1	0	1	4	1	2	2	3	4	6	4	2	3	3	9	3	7	10	14	8	5	12	1	6	5	11	24	14	2	3	2	5	13	6	6	3	3	7	10	7	12	2	7	12	7	7	9	6	5	4	4	5	7	4	1	3	6	4	5	9	11	3	3	1	5	5	8	7	8	2	5	11	4	2	5	1	6	3	3	0	24	32	6	31	34	45	38	22	57	49	13	31	29	41	55	100	18	61	41	164	19	4	21	22	39	20	6	59	15	20	19	39	64	97	15	3	23	54	57	17	12	25	22	60	18	6	34	197	27
